Internal.Interview.Numbers,A.Quiet.Place.Part.II,Mulan,My.Spy,Saint.Maud,The.New.Mutants,The.High.Note,Scoob.,The.SpongeBob.Movie..Sponge.on.the.Run,Antebellum,Antlers,Black.Widow,Run,Spiral,The.Woman.in.the.Window,Irresistible,The.Green.Knight,Wonder.Woman.1984,Candyman,Greyhound,Soul,Minions..The.Rise.of.Gru,In.the.Heights,Top.Gun..Maverick,Free.Guy,Ghostbusters..Afterlife,Tenet,Jungle.Cruise,Morbius,Peter.Rabbit.2..The.Runaway,Connected,The.King.s.Man,Respect,No.Time.to.Die,Fast...Furious.9,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9
127962996,0.004166029,0.15415241,0.016640898,6.41E-05,0.002434754,0.03620477,0.012121322,0.004233543,0.001320605,0.000698085,0.423474498,0.000575355,0.000747778,0.007205928,0.00096394,0.002058912,0.065187164,6.46E-06,0.001396952,0.020052391,0.017454209,0.056854055,0.008456211,0.003231989,0.01651604,0.000242983,0.036314139,6.14E-05,0.007604617,0.00178457,0.001541809,0.007384409,0.010525929,0.078321737,1,1,4,4,4,5,6
127963114,0.000218996,2.00E-05,0.000658518,0.004548523,0.000180636,0.013183878,0.008910659,0.014499512,0.007670679,0.001506665,0.003150839,0.003968196,0.002614917,0.002720544,0.008677356,0.007316418,0.000793708,0.011691283,0.020025446,0.004560529,0.001312156,0.00179517,0.33374878,0.034563639,0.000679658,0.000743549,0.009521195,0.00264347,0.000389471,0.00557859,0.005916739,0.019999776,0.000479798,0.465710691,3,2,5,5,5,1,4
127963126,4.69E-06,0.041724174,0.000344768,0.000128368,0.003917558,0.000211462,0.025046272,0.012913247,8.73E-06,3.71E-05,0.1144815,0.000166466,0.000299657,1.79E-05,0.00015581,0.000773339,0.256909876,0.000298946,5.57E-05,3.66E-05,0.006642193,0.000300183,0.00230046,0.000305159,0.011563096,6.21E-05,0.020977171,0.000224065,0.000713145,0.000275692,0.00106661,0.000248091,0.000850507,0.496939378,3,2,5,5,5,1,4
127963179,0.385805414,1.29E-05,0.00076933,0.00015254,0.029945679,0.000103278,0.009414007,0.018049596,0.000443949,0.003285335,0.0728885,0.001525677,0.02516485,0.000423141,0.000925381,0.003857046,0.062788906,0.292765865,0.0013609,0.000130851,0.00025649,0.000519125,0.038792516,0.004800381,0.01185943,0.000956187,0.001684065,0.008356909,7.63E-05,0.000849514,0.00082464,0.000385862,0.00296615,0.017859276,2,4,1,2,1,6,3
127963212,0.072649816,0.000285627,0.001062183,3.64E-05,3.18E-05,0.000284042,0.636181616,0.191087415,0.000450873,0.000532059,0.012066644,0.000161165,0.001129976,0.004777436,0.000103321,0.000251066,0.031674822,0.021284546,0.000156229,0.004299,6.65E-05,0.000208305,0.004382393,0.000950731,0.004967399,0.000389772,0.000736803,4.57E-05,0.00511201,0.000101827,5.09E-05,0.000175021,0.000580629,0.003726059,1,3,2,6,7,4,9
127963284,0.000573688,0.002622902,0.005396924,9.73E-05,0.009400695,0.000272865,7.45E-05,1.46E-05,3.82E-05,0.000155283,0.061589208,0.000262847,0.000241137,1.71E-05,0.000225703,0.001032027,0.007770526,0.000421976,0.00109021,0.000176072,0.005151182,0.000265906,0.148448379,0.001208981,0.005583046,0.000223689,0.002943884,8.06E-05,4.25E-05,0.000262921,7.54E-05,0.000199657,0.026716898,0.717323201,3,2,5,5,5,1,4
127963493,0.283295593,0.007786367,0.002842383,0.000201759,0.036219131,0.000561194,0.004782529,0.005850979,0.00010491,0.000588804,0.251874659,0.000536394,0.00024091,0.007458196,0.000283694,0.000993605,0.097785102,0.000525298,0.001204636,4.67E-05,0.036541553,0.000239086,0.006572719,0.02175821,0.012174483,0.000183141,0.004220374,0.00051879,0.00164032,0.000405502,0.015237265,0.000178737,0.013815864,0.183331154,1,1,4,4,4,5,6
127963499,0.088538894,0.024739538,0.039322174,0.002050626,0.000689614,0.006533103,0.032387315,0.139863473,0.002272797,0.002395379,0.009950282,0.003960315,0.005923216,0.055533852,0.011204129,0.016779679,0.089243412,0.013165516,0.013128069,0.011103528,0.044168465,0.008979905,0.019644334,0.001770673,0.012566993,0.008899316,0.016410017,0.008086406,0.011959728,0.016553687,0.009834714,0.003813262,0.019101721,0.249425867,1,3,2,6,7,4,5
127963504,0.018639107,0.006367877,0.001395566,0.000253032,0.015669041,0.001365259,0.009271987,0.012969726,0.000851767,0.00138906,0.064063721,0.001284477,0.001197586,0.003541106,0.000549517,0.010006779,0.053493158,0.005208241,0.002518076,0.000190674,0.535921414,0.002486121,0.001559087,0.003620467,0.089075801,0.000872066,0.060494653,0.00270286,0.003900674,0.004146664,0.062890259,0.001412064,0.003889971,0.016802142,1,3,2,6,7,4,5
127963525,0.000103806,0.016990283,0.001173154,0.00011409,0.001436114,0.000852649,1.07E-05,6.51E-07,0.000153699,0.001508142,0.087646626,0.001436828,0.000921814,0.001387329,0.006737781,0.001196156,0.247481862,6.00E-06,0.001760962,0.000445384,3.63E-05,0.004150382,0.002616757,0.014754008,7.24E-05,0.010271177,0.006697696,0.00340109,2.79E-05,0.001502224,0.001809823,0.001428199,0.003998468,0.577869549,3,2,5,5,5,1,4
